单词,中文
oh,excl.哦，啊
e-dog,n.电子狗
master,n.主人；大师
grade,n.年级
student,n.学生
reading,n.阅读
classmate,n.同班同学
after school,放学后
slim,adj.苗条的
be good at,擅长于
over,adv.穿过
classroom,n. 教室
dancing,n.跳舞，舞蹈
swimming,n.游泳
age,n.年龄
looks,n.相貌，容貌
cute,adj.可爱的；讨人喜欢的
hobby,n.业余爱好
glad,adj.高兴的
everyone,pron.每人，人人
come from,来自
glasses,n.〔复〕眼镜
walking,n.散步，步行
really,(表兴趣或惊讶)的确,确实
bowl,n.碗，盆
time,n.次，回
tennis,n.网球
volleyball,n.排球
enjoy,享受…的乐趣；欣赏；喜爱
go swimming,去游泳
player,n.运动员
member,n.成员
club,n.俱乐部
free,adj.空闲的
hope,vt.希望
dream,n.梦想；梦
TRUE,adj.真的，真实的
come true,变为现实，成为事实
drawing,n.画画
weekend,n.周末
at/on weekends,在周末
of course,当然
shop,v.购物
table tennis,n.乒乓球
else,adv.另外；其他
lot,n.许多，好些
a lot of,许多；大量
fun,n.享乐，乐趣；有趣的事
team,n.队；组
talk about/of,谈论
match,n.比赛，竞赛
hero,n.偶像；英雄
which,pron.哪一个
best,(well的最高级)最,最好地
so,conj.因此，所以
biology,n.生物
geography,n.地理
history,n.历史
date,n.日期
meeting,n.会议；集会
o'clock,点钟
OK,adv.好，对；不错
gate,n.大门
so,conj.因此，所以
show,vt. 引，带，领
around,adv.到处，向各处
show sb around,领某人参观
front,n.前面
in front of,在…前面
building,n.建筑物，房子，楼房
ground,n.地，地面
ground floor,<英>底层,一楼
bright,adj.明亮的
modern,adj.现代的；新式的
hall,n.礼堂，大厅
diary,n.日记
look at,看一看
wall,n.墙
let me see,让我想想
after class,下课后
parden,什么，请再说一遍
phone,（=telephone） n.电话
on the phone,通电话
from ... To ...,从...到...
take,v.需要…时间，费时
get up,起床
go to school,去上学
a.m.,午夜至正午，上午，午前
p.m.,abbr.下午，午后
reading room,n.阅览室
only,adv.只，只有，仅
sure,adv.（口）当然
kind,n.种类
all kind of,各种各样的
borrow,vt.借，借用
borrow ... From ...,向...借...
letter,n.信，函
few,不多（的），少数（的）
a few,一些，少量
away,adv.离开，远离
far away from,远离
on foot,走路，步行
best,(well的最高级)最，最好地
all the best,一切顺利，万事如意
wake,vi.&vt.醒，醒来；唤醒
